#time_ms,pressure_pa,altitude_m
0,101325.0,0.00
100,101182.4,11.88
200,101042.8,23.52
300,100906.2,34.92
400,100772.7,46.08
500,100642.1,57.00
600,100514.6,67.68
700,100390.0,78.12
800,100268.5,88.32
900,100149.9,98.28
1000,100034.3,108.00
1100,99921.6,117.48
1200,99811.9,126.72
1300,99705.2,135.72
1400,99601.3,144.48
1500,99500.4,153.00
1600,99402.5,161.28
1700,99307.4,169.32
1800,99215.2,177.12
1900,99126.0,184.68
2000,99039.6,192.00
2100,98956.2,199.08
2200,98875.6,205.92
2300,98797.9,212.52
2400,98723.0,218.88
2500,98651.1,225.00
2600,98582.0,230.88
2700,98515.7,236.52
2800,98452.3,241.92
2900,98391.8,247.08
3000,98334.1,252.00
3100,98279.2,256.68
3200,98227.2,261.12
3300,98178.0,265.32
3400,98131.6,269.28
3500,98088.1,273.00
3600,98047.4,276.48
3700,98009.5,279.72
3800,97974.4,282.72
3900,97942.2,285.48
4000,97912.7,288.00
4100,97886.1,290.28
4200,97862.2,292.32
4300,97841.2,294.12
4400,97823.0,295.68
4500,97807.6,297.00
4600,97795.0,298.08
4700,97785.2,298.92
4800,97778.2,299.52
4900,97774.0,299.88
5000,97772.6,300.00
5100,97774.0,299.88
5200,97778.2,299.52
5300,97785.2,298.92
5400,97795.0,298.08
5500,97807.6,297.00
5600,97823.0,295.68
5700,97841.2,294.12
5800,97862.2,292.32
5900,97886.1,290.28
6000,97912.7,288.00
6100,97942.2,285.48
6200,97974.4,282.72
6300,98009.5,279.72
6400,98047.4,276.48
6500,98088.1,273.00
6600,98131.6,269.28
6700,98178.0,265.32
6800,98227.2,261.12
6900,98279.2,256.68
7000,98334.1,252.00
7100,98391.8,247.08
7200,98452.3,241.92
7300,98515.7,236.52
7400,98582.0,230.88
7500,98651.1,225.00
7600,98723.0,218.88
7700,98797.9,212.52
7800,98875.6,205.92
7900,98956.2,199.08
8000,99039.6,192.00
8100,99126.0,184.68
8200,99215.2,177.12
8300,99307.4,169.32
8400,99402.5,161.28
8500,99500.4,153.00
8600,99601.3,144.48
8700,99705.2,135.72
8800,99811.9,126.72
8900,99921.6,117.48
9000,100034.3,108.00
9100,100149.9,98.28
9200,100268.5,88.32
9300,100390.0,78.12
9400,100514.6,67.68
9500,100642.1,57.00
9600,100772.7,46.08
9700,100906.2,34.92
9800,101042.8,23.52
9900,101182.4,11.88
10000,101325.0,0.00
